MOAmetagenome_project_id(Number)[*MOAmetagenome_project_id],sample_id(String)[*sample_id],habitat_type(String),geographic_location(String),sample_location(String),country(Binary),filter_size(String),latitude(Number),longitude(Number),sample_depth(String),water_depth(String),chlorophyll(String),oxygen(String),flourine(String),salinity(String),temperature(String),transmission(String),biomass(String),dissolved_inorganic_carbon(String),dissolved_inorganic_phosphate(String),dissolved_organic_carbon(String),nitrate_plus_nitrate(String),num_samples_pooled(String),num_stations_sampled(Number),volume_filtered(String),collection_date(Nothing),clone_type(String)
1,F1S_Healthy_Human_Adult_Male,None,None,None,Japan,100 - 100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,F1T_Healthy_Human_Adult_Female,None,None,None,Japan,100 - 100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,F1U_Healthy_Human_Infant_Female,None,None,None,Japan,100 - 100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,F2V_Healthy_Human_Adult_Male,None,None,None,Japan,100 - 100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,F2W_Healthy_Human_Adult_Female,None,None,None,Japan,100 - 100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,F2X_Healthy_Human_Child_Male,None,None,None,Japan,100 - 100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,F2Y_Healthy_Human_Child_Female,None,None,None,Japan,100 - 100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,InA_Healthy_Human_Adult_Male,None,None,None,Japan,100 - 100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,InB_Healthy_Human_Infant_Male,None,None,None,Japan,100 - 100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,InD_Healthy_Human_Adult_Male,None,None,None,Japan,100 - 100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,InE_Healthy_Human_Infant_Male,None,None,None,Japan,100 - 100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,InM_Healthy_Human_Infant_Female,None,None,None,Japan,100 - 100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,InR_Healthy_Human_Adult_Female,None,None,None,Japan,100 - 100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,JGI_SLUDGE_AUS_SMPL_20060924,Sewage Sludge,Brisbane_Queensland,Thornside Sewage Treatment Plant,Australia,None,-27.4666671753,153.016662598,None,None,None,None,None,None,23-24 C (s,None,27.2 g (sequencing batch reactor),None,None,None,None,None,None,None,2004-08-18,None
2,JGI_SLUDGE_US_SMPL_20060924,Sewage Sludge,Madison_Wisconsin,Nine Springs Wastewater Treatment Plant,USA,None,43.0666656494,-89.4000015259,None,None,None,None,None,None,20-24 C (s,None,2 g (sequencing batch reactor),None,None,None,None,None,None,None,2004-07-03,None
4,06-Jul-06_120m,None,None,Saanich Inlet,None,None,48.5882987976,-123.503700256,120 m depth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2006-07-06,environmental fosmid library
4,06-Jul-06_100m,None,None,Saanich Inlet,None,None,48.5882987976,-123.503700256,100 m depth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2006-07-06,environmental fosmid library
4,06-Jul-06_10m,None,None,Saanich Inlet,None,None,48.5882987976,-123.503700256,10 m depth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2006-07-06,environmental fosmid library
4,06-Jul-06_200m,None,None,Saanich Inlet,None,None,48.5882987976,-123.503700256,200 m depth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2006-07-06,environmental fosmid library
4,09-Apr-08_100m,None,None,Saanich Inlet,None,None,48.5882987976,-123.503700256,100 m depth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2008-04-14,environmental whole genome shotgun library
4,09-Apr-08_120m,None,None,Saanich Inlet,None,None,48.5882987976,-123.503700256,120 m depth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2008-04-14,environmental whole genome shotgun library
4,09-Apr-08_200m,None,None,Saanich Inlet,None,None,48.5882987976,-123.503700256,200 m depth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2008-04-14,environmental whole genome shotgun library
4,14-Nov-06_100m,None,None,Saanich Inlet,None,None,48.5882987976,-123.503700256,100 m depth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2006-11-14,environmental fosmid library
4,14-Nov-06_10m,None,None,Saanich Inlet,None,None,48.5882987976,-123.503700256,10 m depth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2006-11-14,environmental fosmid library
4,14-Nov-06_120m,None,None,Saanich Inlet,None,None,48.5882987976,-123.503700256,120 m depth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2006-11-14,environmental fosmid library
4,14-Nov-06_200m,None,None,Saanich Inlet,None,None,48.5882987976,-123.503700256,200 m depth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2006-11-14,environmental fosmid library
4,18-Feb-06_100m,None,None,Saanich Inlet,None,None,48.5882987976,-123.503700256,100 m depth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2006-02-18,environmental fosmid library
4,18-Feb-06_10m,None,None,Saanich Inlet,None,None,48.5882987976,-123.503700256,10 m depth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2006-02-18,environmental fosmid library
4,18-Feb-06_125m,None,None,Saanich Inlet,None,None,48.5882987976,-123.503700256,125 m depth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2006-02-18,environmental fosmid library
4,18-Feb-06_215m,None,None,Saanich Inlet,None,None,48.5882987976,-123.503700256,200 m depth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2006-02-18,environmental fosmid library
4,24-Apr-07_100m,None,None,Saanich Inlet,None,None,48.5882987976,-123.503700256,100 m depth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2007-04-24,environmental fosmid library
4,24-Apr-07_10m,None,None,Saanich Inlet,None,None,48.5882987976,-123.503700256,10 m depth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2007-04-24,environmental fosmid library
4,24-Apr-07_120m,None,None,Saanich Inlet,None,None,48.5882987976,-123.503700256,120 m depth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2007-04-24,environmental fosmid library
4,24-Apr-07_200m,None,None,Saanich Inlet,None,None,48.5882987976,-123.503700256,200 m depth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2007-04-24,environmental fosmid library
3,JGI_SLUDGE_USA_CONTIGS,None,None,None,None,None,43.0666656494,-89.4000015259,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,JGI_SLUDGE_AUS_CONTIGS,None,None,None,None,None,-27.4666671753,153.016662598,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
